,Limit,Sex,Education,Marriage,Age,Pay_sept,Pay_aug,Pay_july,Pay_june,Pay_may,Pay_april,Bill_sept,Bill_aug,Bill_july,Bill_june,Bill_may,Bill_april,Amt_sept,Amt_aug,Amt_july,Amt_june,Amt_may,Amt_april
29016,90000.0,2.0,2.0,1.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1829.0,2793.0,696.0,546.0,846.0,846.0,2793.0,696.0,546.0,996.0,846.0,696.0
21824,290000.0,2.0,1.0,2.0,25.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,11102.0,9327.0,22149.0,23737.0,13449.0,17963.0,9358.0,22149.0,20000.0,3449.0,7000.0,11041.0
14861,30000.0,2.0,2.0,2.0,24.0,2.0,2.0,7.0,7.0,7.0,7.0,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0
22112,50000.0,2.0,2.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,19889.0,20451.0,20426.0,19894.0,20294.0,20145.0,1500.0,1600.0,1600.0,1000.0,900.0,1000.0
28423,210000.0,2.0,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,77830.0,68850.0,42884.0,23547.0,18574.0,12466.0,2555.0,2027.0,1045.0,1000.0,500.0,10000.0
1266,220000.0,2.0,2.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,194961.0,197536.0,203251.0,208355.0,213015.0,217475.0,7200.0,9000.0,10000.0,8000.0,8010.0,8500.0
36566,50000.0,1.1935925457077572,1.1935925457077572,2.0,25.80640745429224,-0.4192223628767282,0.3871850914155144,0.3871850914155144,0.3871850914155144,0.3871850914155144,0.3871850914155144,15492.719878058491,16360.250822503927,18037.92223628767,18190.3658346022,18582.79819395265,19044.706188889086,1422.5629817168972,2029.0388818561637,1209.6111814383642,1258.0777637123272,919.3592545707758,806.4074542922428
29319,280000.0,1.0,4.0,2.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,688.0,2384.0,696.0,696.0,1392.0,696.0,2400.0,696.0,696.0,1392.0,0.0,696.0
3965,210000.0,2.0,2.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,137009.0,121126.0,101951.0,96329.0,84224.0,81570.0,20000.0,15011.0,10000.0,10000.0,5000.0,10001.0
25852,370000.0,2.0,2.0,1.0,47.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1289.0,2408.0,395.0,12074.0,744.0,4040.0,2432.0,397.0,12133.0,747.0,4060.0,3059.0
